"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"54",54,"Base_Test1_204","Test1",2,24,"right","female","1","50","PW vs Fin FW","dakutu.wav","bidaro.wav",2,2,-0.257955755918198,"Familiar",1,54,926,1,"Final","PW vs FW",25.4190445448677
"55",55,"Base_Test1_204","Test1",2,24,"right","female","1","34","PW vs In FW","dakugo.wav","godaku.wav",2,2,0.781961875630439,"Familiar",5,55,956,0,"Initial","PW vs FW",26.4190445448677
"56",56,"Base_Test1_204","Test1",2,24,"right","female","1","31","Word vs Fin FW","tupiro.wav","tupiku.wav",NA,3,-0.257955755918198,"Familiar",1,56,1191,1,"Final","Word vs FW",27.4190445448677
"57",57,"Base_Test1_205","Test1",1,20,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Familiar",1,1,1918,1,NA,"Word vs PW",-27.5809554551323
"58",58,"Base_Test1_205","Test1",1,20,"right","female","1","15","Word vs In FW","tupiro.wav","papiro.wav",NA,3,1.07074586855259,"Familiar",1,2,1897,1,"Initial","Word vs FW",-26.5809554551323
"59",59,"Base_Test1_205","Test1",1,20,"right","female","5","11","Word vs In FW","gopiro.wav","tupiro.wav",NA,3,-0.275458580478951,"Familiar",5,3,1604,1,"Initial","Word vs FW",-25.5809554551323
"60",60,"Base_Test1_205","Test1",1,20,"right","female","1","42","PW vs Med FW","dakutu.wav","bilaku.wav",2,2,-1.60739314711274,"Familiar",1,4,1187,1,"Medial","PW vs FW",-24.5809554551323
"61",61,"Base_Test1_205","Test1",1,20,"right","female","1","34","PW vs In FW","dakugo.wav","godaku.wav",2,2,0.781961875630439,"Familiar",5,5,1843,0,"Initial","PW vs FW",-23.5809554551323
"62",62,"Base_Test1_205","Test1",1,20,"right","female","1","51","PW vs Fin FW","pirogo.wav","tupiti.wav",2,3,1.35174727276499,"Familiar",1,6,1470,1,"Final","PW vs FW",-22.5809554551323
"63",63,"Base_Test1_205","Test1",1,20,"right","female","1","14","Word vs In FW","bidaku.wav","tudaku.wav",NA,2,-0.266109272601177,"Familiar",1,7,1366,1,"Initial","Word vs FW",-21.5809554551323
"64",64,"Base_Test1_205","Test1",1,20,"right","female","5","56","PW vs Fin FW","padoro.wav","ropado.wav",1,4,1.35174727276499,"Familiar",1,8,1658,0,"Final","PW vs FW",-20.5809554551323
"65",65,"Base_Test1_205","Test1",1,20,"right","female","1","49","PW vs Fin FW","labupa.wav","golati.wav",2,1,0.296611514613159,"Familiar",5,9,1404,0,"Final","PW vs FW",-19.5809554551323
"66",66,"Base_Test1_205","Test1",1,20,"right","female","1","41","PW vs Med FW","labupa.wav","gopibu.wav",2,1,1.10108532403706,"Familiar",5,10,1038,0,"Medial","PW vs FW",-18.5809554551323
"67",67,"Base_Test1_205","Test1",1,20,"right","female","5","55","PW vs Fin FW","tupiku.wav","butupi.wav",1,3,-0.257955755918198,"Familiar",1,11,1099,0,"Final","PW vs FW",-17.5809554551323
"68",68,"Base_Test1_205","Test1",1,20,"right","female","1","43","PW vs Med FW","pirogo.wav","tularo.wav",2,3,1.10108532403706,"Familiar",1,12,951,1,"Medial","PW vs FW",-16.5809554551323
"69",69,"Base_Test1_205","Test1",1,20,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Familiar",5,13,1014,1,NA,"Word vs PW",-15.5809554551323
"70",70,"Base_Test1_205","Test1",1,20,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Familiar",1,14,989,1,NA,"Word vs PW",-14.5809554551323
"71",71,"Base_Test1_205","Test1",1,20,"right","female","1","44","PW vs Med FW","dotigo.wav","papiti.wav",2,4,0.291753243007115,"Familiar",1,15,1039,1,"Medial","PW vs FW",-13.5809554551323
"72",72,"Base_Test1_205","Test1",1,20,"right","female","5","18","Word vs Med FW","bilaku.wav","bidaku.wav",NA,2,-1.60739314711274,"Familiar",1,16,1247,0,"Medial","Word vs FW",-12.5809554551323
"73",73,"Base_Test1_205","Test1",1,20,"right","female","1","21","Word vs Med FW","golabu.wav","godabu.wav",NA,1,-1.60739314711274,"Familiar",1,17,1478,1,"Medial","Word vs FW",-11.5809554551323
"74",74,"Base_Test1_205","Test1",1,20,"right","female","1","36","PW vs In FW","dotitu.wav","godoti.wav",2,4,-0.355968481618047,"Familiar",1,18,1165,1,"Initial","PW vs FW",-10.5809554551323
"75",75,"Base_Test1_205","Test1",1,20,"right","female","5","25","Word vs Fin FW","golati.wav","golabu.wav",NA,1,0.296611514613159,"Familiar",5,19,1416,1,"Final","Word vs FW",-9.58095545513234
"76",76,"Base_Test1_205","Test1",1,20,"right","female","1","30","Word vs Fin FW","bidaku.wav","bidabu.wav",NA,2,-1.34526988854491,"Familiar",1,20,1293,1,"Final","Word vs FW",-8.58095545513234
"77",77,"Base_Test1_205","Test1",1,20,"right","female","1","32","Word vs Fin FW","padoti.wav","padoro.wav",NA,4,1.35174727276499,"Familiar",1,21,1539,1,"Final","Word vs FW",-7.58095545513234
"78",78,"Base_Test1_205","Test1",1,20,"right","female","1","31","Word vs Fin FW","tupiro.wav","tupiku.wav",NA,3,-0.257955755918198,"Familiar",1,22,1206,1,"Final","Word vs FW",-6.58095545513234
"79",79,"Base_Test1_205","Test1",1,20,"right","female","1","13","Word vs In FW","golabu.wav","bilabu.wav",NA,1,0.781961875630439,"Familiar",1,23,1273,1,"Initial","Word vs FW",-5.58095545513234
"80",80,"Base_Test1_205","Test1",1,20,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Familiar",1,24,1015,1,NA,"Word vs PW",-4.58095545513234
"81",81,"Base_Test1_205","Test1",1,20,"right","female","1","29","Word vs Fin FW","golabu.wav","golaku.wav",NA,1,-1.34526988854491,"Familiar",1,25,974,1,"Final","Word vs FW",-3.58095545513234
"82",82,"Base_Test1_205","Test1",1,20,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Familiar",1,26,1373,0,NA,"Word vs PW",-2.58095545513234
"83",83,"Base_Test1_205","Test1",1,20,"right","female","5","28","Word vs Fin FW","padobu.wav","padoti.wav",NA,4,0.296611514613159,"Familiar",1,27,1851,0,"Final","Word vs FW",-1.58095545513234
"84",84,"Base_Test1_205","Test1",1,20,"right","female","1","23","Word vs Med FW","tupiro.wav","tudoro.wav",NA,3,0.291753243007115,"Familiar",1,28,1017,1,"Medial","Word vs FW",-0.580955455132344
"85",85,"Base_Test1_205","Test1",1,20,"right","female","1","50","PW vs Fin FW","dakutu.wav","bidaro.wav",2,2,-0.257955755918198,"Familiar",5,29,1274,0,"Final","PW vs FW",0.419044544867656
