"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"50",9346,"Base_SNL_1205","SNL",1,18,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",1,7,1883,0,NA,"Word vs PW",-21.5809554551323
"51",9347,"Base_SNL_1205","SNL",1,18,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,15,1329,1,NA,"Word vs PW",-13.5809554551323
"52",9348,"Base_SNL_1205","SNL",1,18,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,16,1427,0,NA,"Word vs PW",-12.5809554551323
"53",9349,"Base_SNL_1205","SNL",1,18,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,23,1439,1,NA,"Word vs PW",-5.58095545513234
"54",9350,"Base_SNL_1205","SNL",1,18,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",5,24,1573,0,NA,"Word vs PW",-4.58095545513234
"55",9351,"Base_SNL_1205","SNL",1,18,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",1,37,1464,0,NA,"Word vs PW",8.41904454486766
"56",9352,"Base_SNL_1205","SNL",1,18,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,50,1298,1,NA,"Word vs PW",21.4190445448677
"57",9353,"Base_SNL_1206","SNL",2,24,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,4,1268,0,NA,"Word vs PW",-24.5809554551323
"58",9354,"Base_SNL_1206","SNL",2,24,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",5,9,2628,1,NA,"Word vs PW",-19.5809554551323
"59",9355,"Base_SNL_1206","SNL",2,24,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,12,2827,1,NA,"Word vs PW",-16.5809554551323
"60",9356,"Base_SNL_1206","SNL",2,24,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,19,1440,1,NA,"Word vs PW",-9.58095545513234
"61",9357,"Base_SNL_1206","SNL",2,24,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,43,3066,1,NA,"Word vs PW",14.4190445448677
"62",9358,"Base_SNL_1206","SNL",2,24,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,44,1603,1,NA,"Word vs PW",15.4190445448677
"63",9359,"Base_SNL_1206","SNL",2,24,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",5,46,2713,0,NA,"Word vs PW",17.4190445448677
"64",9360,"Base_SNL_1206","SNL",2,24,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,54,2647,1,NA,"Word vs PW",25.4190445448677
"65",9361,"Base_SNL_1207","SNL",1,21,"right","female","5","2","Word vs PW","dakugo.wav","bidaku.wav",2,2,NA,"Assimilable",5,2,1176,1,NA,"Word vs PW",-26.5809554551323
"66",9362,"Base_SNL_1207","SNL",1,21,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",5,14,1534,0,NA,"Word vs PW",-14.5809554551323
"67",9363,"Base_SNL_1207","SNL",1,21,"right","female","1","8","Word vs PW","padoti.wav","kupado.wav",1,4,NA,"Assimilable",1,15,1100,1,NA,"Word vs PW",-13.5809554551323
"68",9364,"Base_SNL_1207","SNL",1,21,"right","female","5","1","Word vs PW","labubi.wav","golabu.wav",2,1,NA,"Assimilable",1,23,1336,0,NA,"Word vs PW",-5.58095545513234
"69",9365,"Base_SNL_1207","SNL",1,21,"right","female","5","3","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Assimilable",1,24,2336,0,NA,"Word vs PW",-4.58095545513234
"70",9366,"Base_SNL_1207","SNL",1,21,"right","female","5","4","Word vs PW","dotitu.wav","padoti.wav",2,4,NA,"Assimilable",5,38,2080,1,NA,"Word vs PW",9.41904454486766
"71",9367,"Base_SNL_1207","SNL",1,21,"right","female","1","7","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Assimilable",1,49,2867,1,NA,"Word vs PW",20.4190445448677
"72",9368,"Base_SNL_1207","SNL",1,21,"right","female","1","6","Word vs PW","bidaku.wav","bubida.wav",1,2,NA,"Assimilable",1,51,1859,1,NA,"Word vs PW",22.4190445448677
"73",9370,"Base_SNL_1208","SNL",2,19,"right","female","1","5","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Assimilable",1,19,1072,1,NA,"Word vs PW",-9.58095545513234
