"","X","SubjectID","ExperimentName","Session","Age","Handedness","Sex","CRESP","List2","PairCode","Sound1","Sound2","PWType","WordType","zMFCC","Condition","RESP","Trial","RT","ACC","SyllPos","TrialType","c_Trial"
"68",12220,"Base_NNL_802","NNL",2,30,"right","male","1","52","PW vs Fin FW","butupi.wav","tupiku.wav",1,3,1.3494944975745,"Unfamiliar",5,12,1804,0,"Final","PW vs FW",-16.5809554551323
"69",12221,"Base_NNL_802","NNL",2,30,"right","male","1","12","Word vs In FW","padoti.wav","tudoti.wav",NA,4,0.429540957672635,"Unfamiliar",1,13,1451,1,"Initial","Word vs FW",-15.5809554551323
"70",12222,"Base_NNL_802","NNL",2,30,"right","male","1","36","PW vs In FW","rogola.wav","bilabu.wav",1,1,-1.23434873110733,"Unfamiliar",1,14,2086,1,"Initial","PW vs FW",-14.5809554551323
"71",12223,"Base_NNL_802","NNL",2,30,"right","male","5","14","Word vs In FW","godaku.wav","bidaku.wav",NA,2,-1.23434873110733,"Unfamiliar",5,15,2212,1,"Initial","Word vs FW",-13.5809554551323
"72",12224,"Base_NNL_802","NNL",2,30,"right","male","5","45","PW vs Med FW","bilaku.wav","dakutu.wav",2,2,-1.31107860864913,"Unfamiliar",1,16,1549,0,"Medial","PW vs FW",-12.5809554551323
"73",12225,"Base_NNL_802","NNL",2,30,"right","male","5","49","PW vs Fin FW","bidabu.wav","robida.wav",1,2,-1.22985896637136,"Unfamiliar",1,17,2171,0,"Final","PW vs FW",-11.5809554551323
"74",12226,"Base_NNL_802","NNL",2,30,"right","male","5","29","Word vs Fin FW","golati.wav","golabu.wav",NA,1,1.07824849447084,"Unfamiliar",1,18,1694,0,"Final","Word vs FW",-10.5809554551323
"75",12227,"Base_NNL_802","NNL",2,30,"right","male","5","35","PW vs In FW","tudoti.wav","kupado.wav",1,4,0.429540957672635,"Unfamiliar",1,19,1684,0,"Initial","PW vs FW",-9.58095545513234
"76",12228,"Base_NNL_802","NNL",2,30,"right","male","5","33","PW vs In FW","tudaku.wav","bubida.wav",1,2,-0.625245435400968,"Unfamiliar",1,20,1613,0,"Initial","PW vs FW",-8.58095545513234
"77",12229,"Base_NNL_802","NNL",2,30,"right","male","1","47","PW vs Med FW","labupa.wav","gopibu.wav",2,1,0.681696431891337,"Unfamiliar",5,21,3023,0,"Medial","PW vs FW",-7.58095545513234
"78",12230,"Base_NNL_802","NNL",2,30,"right","male","5","8","Word vs PW","piropa.wav","tupiro.wav",2,3,NA,"Unfamiliar",1,22,2851,0,NA,"Word vs PW",-6.58095545513234
"79",12231,"Base_NNL_802","NNL",2,30,"right","male","5","4","Word vs PW","kupado.wav","padoti.wav",1,4,NA,"Unfamiliar",5,23,1885,1,NA,"Word vs PW",-5.58095545513234
"80",12232,"Base_NNL_802","NNL",2,30,"right","male","5","42","PW vs Med FW","tudoro.wav","butupi.wav",1,3,-0.996502409603964,"Unfamiliar",1,24,2114,0,"Medial","PW vs FW",-4.58095545513234
"81",12233,"Base_NNL_802","NNL",2,30,"right","male","1","44","PW vs Med FW","ropado.wav","padati.wav",1,4,1.5060831821829,"Unfamiliar",5,25,1512,0,"Medial","PW vs FW",-3.58095545513234
"82",12234,"Base_NNL_802","NNL",2,30,"right","male","5","24","Word vs Med FW","papiti.wav","padoti.wav",NA,4,-0.996502409603964,"Unfamiliar",1,26,1679,0,"Medial","Word vs FW",-2.58095545513234
"83",12235,"Base_NNL_802","NNL",2,30,"right","male","1","19","Word vs Med FW","tupiro.wav","tudoro.wav",NA,3,-0.996502409603964,"Unfamiliar",5,27,1634,0,"Medial","Word vs FW",-1.58095545513234
"84",12236,"Base_NNL_802","NNL",2,30,"right","male","1","11","Word vs In FW","tupiro.wav","papiro.wav",NA,3,0.429540957672635,"Unfamiliar",5,28,2472,0,"Initial","Word vs FW",-0.580955455132344
"85",12237,"Base_NNL_802","NNL",2,30,"right","male","1","26","Word vs Fin FW","bidaku.wav","bidabu.wav",NA,2,-1.22985896637136,"Unfamiliar",1,29,2007,1,"Final","Word vs FW",0.419044544867656
"86",12238,"Base_NNL_802","NNL",2,30,"right","male","5","16","Word vs In FW","godoti.wav","padoti.wav",NA,4,0.266764696187699,"Unfamiliar",5,30,2135,1,"Initial","Word vs FW",1.41904454486766
"87",12239,"Base_NNL_802","NNL",2,30,"right","male","5","22","Word vs Med FW","bilaku.wav","bidaku.wav",NA,2,-1.31107860864913,"Unfamiliar",5,31,2218,1,"Medial","Word vs FW",2.41904454486766
"88",12240,"Base_NNL_802","NNL",2,30,"right","male","1","17","Word vs Med FW","golabu.wav","godabu.wav",NA,1,-1.31107860864913,"Unfamiliar",1,32,3039,1,"Medial","Word vs FW",3.41904454486766
"89",12241,"Base_NNL_802","NNL",2,30,"right","male","1","10","Word vs In FW","bidaku.wav","tudaku.wav",NA,2,-0.625245435400968,"Unfamiliar",1,33,1950,1,"Initial","Word vs FW",4.41904454486766
"90",12242,"Base_NNL_802","NNL",2,30,"right","male","5","41","PW vs Med FW","godabu.wav","kugola.wav",1,1,-1.31107860864913,"Unfamiliar",5,34,2125,1,"Medial","PW vs FW",5.41904454486766
"91",12243,"Base_NNL_802","NNL",2,30,"right","male","1","43","PW vs Med FW","robida.wav","bipiku.wav",1,2,0.756281907372257,"Unfamiliar",5,35,1523,0,"Medial","PW vs FW",6.41904454486766
"92",12244,"Base_NNL_802","NNL",2,30,"right","male","5","21","Word vs Med FW","gopibu.wav","golabu.wav",NA,1,0.681696431891337,"Unfamiliar",1,36,1728,0,"Medial","Word vs FW",7.41904454486766
"93",12245,"Base_NNL_802","NNL",2,30,"right","male","1","5","Word vs PW","bidaku.wav","dakugo.wav",2,2,NA,"Unfamiliar",5,37,2205,0,NA,"Word vs PW",8.41904454486766
"94",12246,"Base_NNL_802","NNL",2,30,"right","male","1","1","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Unfamiliar",1,38,1980,1,NA,"Word vs PW",9.41904454486766
"95",12247,"Base_NNL_802","NNL",2,30,"right","male","1","9","Word vs In FW","golabu.wav","bilabu.wav",NA,1,-1.23434873110733,"Unfamiliar",1,39,2485,1,"Initial","Word vs FW",10.4190445448677
"96",12248,"Base_NNL_802","NNL",2,30,"right","male","1","25","Word vs Fin FW","golabu.wav","golaku.wav",NA,1,-1.22985896637136,"Unfamiliar",5,40,1522,0,"Final","Word vs FW",11.4190445448677
"97",12249,"Base_NNL_802","NNL",2,30,"right","male","1","2","Word vs PW","tupiro.wav","titupi.wav",1,3,NA,"Unfamiliar",1,41,2059,1,NA,"Word vs PW",12.4190445448677
"98",12250,"Base_NNL_802","NNL",2,30,"right","male","1","39","PW vs In FW","dakugo.wav","godaku.wav",2,2,-1.23434873110733,"Unfamiliar",1,42,1386,1,"Initial","PW vs FW",13.4190445448677
"99",12251,"Base_NNL_802","NNL",2,30,"right","male","5","34","PW vs In FW","titupi.wav","papiro.wav",1,3,0.429540957672635,"Unfamiliar",1,43,1590,0,"Initial","PW vs FW",14.4190445448677
"100",12252,"Base_NNL_802","NNL",2,30,"right","male","1","51","PW vs Fin FW","kugola.wav","golaku.wav",1,1,-1.22985896637136,"Unfamiliar",1,44,1198,1,"Final","PW vs FW",15.4190445448677
"101",12253,"Base_NNL_802","NNL",2,30,"right","male","5","38","PW vs In FW","gopiro.wav","piropa.wav",2,3,-0.539772457704594,"Unfamiliar",1,45,1295,0,"Initial","PW vs FW",16.4190445448677
"102",12254,"Base_NNL_802","NNL",2,30,"right","male","1","6","Word vs PW","padoti.wav","dotitu.wav",2,4,NA,"Unfamiliar",1,46,1457,1,NA,"Word vs PW",17.4190445448677
"103",12255,"Base_NNL_802","NNL",2,30,"right","male","5","31","Word vs Fin FW","tupiti.wav","tupiro.wav",NA,3,0.820638616656125,"Unfamiliar",1,47,1528,0,"Final","Word vs FW",18.4190445448677
"104",12256,"Base_NNL_802","NNL",2,30,"right","male","1","27","Word vs Fin FW","tupiro.wav","tupiku.wav",NA,3,1.3494944975745,"Unfamiliar",5,48,2777,0,"Final","Word vs FW",19.4190445448677
"105",12257,"Base_NNL_802","NNL",2,30,"right","male","1","56","PW vs Fin FW","dotigo.wav","padobu.wav",2,4,1.07824849447084,"Unfamiliar",1,49,1643,1,"Final","PW vs FW",20.4190445448677
"106",12258,"Base_NNL_802","NNL",2,30,"right","male","1","18","Word vs Med FW","bidaku.wav","bipiku.wav",NA,2,0.756281907372257,"Unfamiliar",5,50,1513,0,"Medial","Word vs FW",21.4190445448677
"107",12259,"Base_NNL_802","NNL",2,30,"right","male","5","50","PW vs Fin FW","padoro.wav","ropado.wav",1,4,0.820638616656125,"Unfamiliar",1,51,2373,0,"Final","PW vs FW",22.4190445448677
"108",12260,"Base_NNL_802","NNL",2,30,"right","male","5","30","Word vs Fin FW","bidaro.wav","bidaku.wav",NA,2,1.3494944975745,"Unfamiliar",1,52,1352,0,"Final","Word vs FW",23.4190445448677
"109",12261,"Base_NNL_802","NNL",2,30,"right","male","1","55","PW vs Fin FW","dakutu.wav","bidaro.wav",2,2,1.3494944975745,"Unfamiliar",1,53,2208,1,"Final","PW vs FW",24.4190445448677
"110",12262,"Base_NNL_802","NNL",2,30,"right","male","1","40","PW vs In FW","dotitu.wav","godoti.wav",2,4,0.266764696187699,"Unfamiliar",1,54,1489,1,"Initial","PW vs FW",25.4190445448677
"111",12263,"Base_NNL_802","NNL",2,30,"right","male","5","46","PW vs Med FW","papiti.wav","dotigo.wav",2,4,-0.996502409603964,"Unfamiliar",1,55,1286,0,"Medial","PW vs FW",26.4190445448677
"112",12264,"Base_NNL_802","NNL",2,30,"right","male","5","54","PW vs Fin FW","tupiti.wav","pirogo.wav",2,3,0.820638616656125,"Unfamiliar",1,56,1538,0,"Final","PW vs FW",27.4190445448677
"113",12265,"Base_NNL_803","NNL",1,22,"right","female","1","11","Word vs In FW","tupiro.wav","papiro.wav",NA,3,0.429540957672635,"Unfamiliar",1,1,2784,1,"Initial","Word vs FW",-27.5809554551323
"114",12266,"Base_NNL_803","NNL",1,22,"right","female","5","31","Word vs Fin FW","tupiti.wav","tupiro.wav",NA,3,0.820638616656125,"Unfamiliar",1,2,1232,0,"Final","Word vs FW",-26.5809554551323
"115",12267,"Base_NNL_803","NNL",1,22,"right","female","5","15","Word vs In FW","gopiro.wav","tupiro.wav",NA,3,-0.539772457704594,"Unfamiliar",1,3,2084,0,"Initial","Word vs FW",-25.5809554551323
"116",12268,"Base_NNL_803","NNL",1,22,"right","female","1","1","Word vs PW","golabu.wav","rogola.wav",1,1,NA,"Unfamiliar",1,4,1494,1,NA,"Word vs PW",-24.5809554551323
"117",12269,"Base_NNL_803","NNL",1,22,"right","female","5","34","PW vs In FW","titupi.wav","papiro.wav",1,3,0.429540957672635,"Unfamiliar",1,5,977,0,"Initial","PW vs FW",-23.5809554551323
"118",12270,"Base_NNL_803","NNL",1,22,"right","female","1","28","Word vs Fin FW","padoti.wav","padoro.wav",NA,4,0.820638616656125,"Unfamiliar",1,6,1232,1,"Final","Word vs FW",-22.5809554551323
